Bayside,Brighton,Dendy Street,Dendy Park,Y,Y,Y,Y,Y,Y,Y,Y,-37.923161,145.021072
Kingston,Chelsea,Camp Street,Chelsea Beach,Y,Y,Y,N,Y,Y,N,Y,-38.052391,145.113663
Knox,Rowville,Fulham Road,Rowville Community Centre Playground,Y,Y,N,Y,Y,Y,Y,N,-37.91898,145.240265
Bayside,Hampton,Thomas Street,Thomas Street Reserve,Y,Y,Y,N,Y,Y,Y,Y,-37.940865,145.017319
Manningham,Doncaster,Victoria Street,Ruffey Lake Park,Y,Y,Y,Y,Y,Y,Y,N,-37.777294,145.144073
Melbourne,South Yarra,Birdwood Avenue,The Ian Potter Foundation Children's Garden,Y,Y,Y,Y,Y,Y,Y,Y,-37.830296,144.976059
Moonee Valley,Ascot Vale,Langs Rd,Victory Park,Y,Y,Y,N,Y,N,N,N,-37.779999,144.912003
Glen Eira,Bentleigh,Cnr Jasper Rd,Halley Park,Y,N,Y,Y,Y,Y,N,N,-37.927376,145.039185
Melbourne,Carlton,Rathdowne Street,Carlton Gardens,Y,Y,Y,Y,N,Y,N,N,-37.802189,144.97052
Kingston,Mentone,Glenelg Drive,Mentone Racecource,Y,Y,Y,Y,Y,Y,N,N,-37.978371,145.078781
